t	F
0	80.1389
0.05	160.517
0.1	160.491
0.15	160.466
0.2	160.439
0.25	160.414
0.3	160.386
0.35	160.36
0.4	160.332
0.45	160.305
0.5	160.277
0.55	160.25
0.6	160.221
0.65	160.193
0.7	160.163
0.75	160.135
0.8	160.105
0.85	160.076
0.9	160.045
0.95	160.015
1	159.984
1.05	159.953
1.1	159.922
1.15	159.89
1.2	159.858
1.25	159.826
1.3	159.793
1.35	159.76
1.4	159.726
1.45	159.693
1.5	159.659
1.55	159.625
1.6	159.589
1.65	159.555
1.7	159.519
1.75	159.483
1.8	159.447
1.85	159.41
1.9	159.373
1.95	159.336
2	159.298
2.05	159.26
2.1	159.221
2.15	159.182
2.2	159.143
2.25	159.103
2.3	159.063
2.35	159.023
2.4	158.982
2.45	158.94
2.5	158.899
2.55	158.857
2.6	158.814
2.65	158.771
2.7	158.728
2.75	158.684
2.8	158.64
2.85	158.595
2.9	158.55
2.95	158.505
3	158.459
3.05	158.412
3.1	158.366
3.15	158.319
3.2	158.271
3.25	158.223
3.3	158.175
3.35	158.126
3.4	158.076
3.45	158.027
3.5	157.976
3.55	157.926
3.6	157.874
3.65	157.823
3.7	157.771
3.75	157.718
3.8	157.665
3.85	157.612
3.9	157.558
3.95	157.503
4	157.448
4.05	157.393
4.1	157.337
4.15	157.281
4.2	157.224
4.25	157.166
4.3	157.108
4.35	157.05
4.4	156.991
4.45	156.932
4.5	156.872
4.55	156.811
4.6	156.75
4.65	156.689
4.7	156.627
4.75	156.565
4.8	156.502
4.85	156.438
4.9	156.374
4.95	156.309
5	156.244
5.05	156.178
5.1	156.112
5.15	156.045
5.2	155.978
5.25	155.91
5.3	155.842
5.35	155.773
5.4	155.703
5.45	155.633
5.5	155.563
5.55	155.491
5.6	155.42
5.65	155.347
5.7	155.274
5.75	155.201
5.8	155.127
5.85	155.052
5.9	154.977
5.95	154.901
6	154.825
6.05	154.748
6.1	154.671
6.15	154.592
6.2	154.514
6.25	154.435
6.3	154.355
6.35	154.274
6.4	154.194
6.45	154.112
6.5	154.03
6.55	153.947
6.6	153.864
6.65	153.78
6.7	153.696
6.75	153.611
6.8	153.525
6.85	153.439
6.9	153.353
6.95	153.265
7	153.177
7.05	153.089
7.1	153
7.15	152.911
7.2	152.82
7.25	152.73
7.3	152.639
7.35	152.547
7.4	152.455
7.45	152.362
7.5	152.268
7.55	152.174
7.6	152.08
7.65	151.985
7.7	151.889
7.75	151.793
7.8	151.696
7.85	151.599
7.9	151.502
7.95	151.403
8	151.305
8.05	151.205
8.1	151.106
8.15	151.005
8.2	150.905
8.25	150.803
8.3	150.702
